name,category,latitude,longitude,distance_from_center_km
Miami,amenity,48.8541774,2.3718475,0.4882950781922364
Pizza Five,amenity,48.854138,2.3719111,0.49376361411464414
Coiffure et Nature,shop,48.8539313,2.3676879,0.2140601761195454
Le Rusti,amenity,48.8542099,2.3674439,0.1819141575766317
Saveurs d'Atika,amenity,48.8544362,2.3674029,0.1673708445683342
Bistrot de l'Oulette,amenity,48.8555777,2.3673888,0.16138720564960177
L'Ange 20,amenity,48.8558432,2.367403,0.17491939750403634
Eclats de surya,leisure,48.8595209,2.36845,0.5457765642681486
L'Écumoir,amenity,48.8595048,2.3686879,0.5517214785651512
Recoin,amenity,48.8591538,2.3688576,0.5231349611614068
Christine,shop,48.8592068,2.3688415,0.5276875532716143
Les Caves,amenity,48.8586675,2.3691284,0.48795537339684
La Finca,tourism,48.8582177,2.3718944,0.5956893104605248
Makinne,amenity,48.8572892,2.3686817,0.34872206354320057
Fauve Paris L'abreuvoir,amenity,48.8583989,2.368618,0.4422586075814068
Korus,amenity,48.8592057,2.3681449,0.5045981813190289
Taverna,amenity,48.859352,2.3683386,0.5252973474388833
Bistrot des Vosges,amenity,48.8557195,2.3682032,0.22296009233320507
Le Barbier de Bastille,amenity,48.856563,2.3686073,0.292460597760556
Café Mignon,amenity,48.8584412,2.3675455,0.4090611727582312
Bouquet des Vins,shop,48.8594547,2.3673294,0.5096599893192063
M Coiff,shop,48.8551222,2.3692843,0.2901694590865649
Artpark,tourism,48.8556196,2.3693761,0.3031644263531098
Thai Kok,amenity,48.8593916,2.3683252,0.5288875983356627
,leisure,48.8574027,2.3601668,0.4595335299311606
Bistro Régent,amenity,48.8537976,2.3699213,0.36517024184377184
Le Paradis du Fruit,amenity,48.8537389,2.3700602,0.3770993816955213
